# 
# Header Description:
# 
# Version: v3.0.6.1 Platform: 12 Manufacturer: motorola Model: moto g51 5G
# 
# Raw,utcTimeMillis,TimeNanos,LeapSecond,TimeUncertaintyNanos,FullBiasNanos,BiasNanos,BiasUncertaintyNanos,DriftNanosPerSecond,DriftUncertaintyNanosPerSecond,HardwareClockDiscontinuityCount,Svid,TimeOffsetNanos,State,ReceivedSvTimeNanos,ReceivedSvTimeUncertaintyNanos,Cn0DbHz,PseudorangeRateMetersPerSecond,PseudorangeRateUncertaintyMetersPerSecond,AccumulatedDeltaRangeState,AccumulatedDeltaRangeMeters,AccumulatedDeltaRangeUncertaintyMeters,CarrierFrequencyHz,CarrierCycles,CarrierPhase,CarrierPhaseUncertainty,MultipathIndicator,SnrInDb,ConstellationType,AgcDb,BasebandCn0DbHz,FullInterSignalBiasNanos,FullInterSignalBiasUncertaintyNanos,SatelliteInterSignalBiasNanos,SatelliteInterSignalBiasUncertaintyNanos,CodeType,ChipsetElapsedRealtimeNanos
# 
# UncalAccel,utcTimeMillis,elapsedRealtimeNanos,UncalAccelXMps2,UncalAccelYMps2,UncalAccelZMps2,BiasXMps2,BiasYMps2,BiasZMps2
# 
# Accel,utcTimeMillis,elapsedRealtimeNanos,AccelXMps2,AccelYMps2,AccelZMps2
# 
# UncalGyro,utcTimeMillis,elapsedRealtimeNanos,UncalGyroXRadPerSec,UncalGyroYRadPerSec,UncalGyroZRadPerSec,DriftXRadPerSec,DriftYRadPerSec,DriftZRadPerSec
# 
# Gyro,utcTimeMillis,elapsedRealtimeNanos,GyroXRadPerSec,GyroYRadPerSec,GyroZRadPerSec
# 
# UncalMag,utcTimeMillis,elapsedRealtimeNanos,UncalMagXMicroT,UncalMagYMicroT,UncalMagZMicroT,BiasXMicroT,BiasYMicroT,BiasZMicroT
# 
# Mag,utcTimeMillis,elapsedRealtimeNanos,MagXMicroT,MagYMicroT,MagZMicroT
# 
# OrientationDeg,utcTimeMillis,elapsedRealtimeNanos,yawDeg,rollDeg,pitchDeg
# 
# Fix,Provider,LatitudeDegrees,LongitudeDegrees,AltitudeMeters,SpeedMps,AccuracyMeters,BearingDegrees,UnixTimeMillis,SpeedAccuracyMps,BearingAccuracyDegrees,elapsedRealtimeNanos,VerticalAccuracyMeters
# 
# Nav,Svid,Type,Status,MessageId,Sub-messageId,Data(Bytes)
# 
# Status,UnixTimeMillis,SignalCount,SignalIndex,ConstellationType,Svid,CarrierFrequencyHz,Cn0DbHz,AzimuthDegrees,ElevationDegrees,UsedInFix,HasAlmanacData,HasEphemerisData,BasebandCn0DbHz
# 
Status,,27,0,1,6,1575420030,21.70,17.0,39.0,0,1,1,18.1
Status,,27,1,1,20,1575420030,21.40,171.0,53.0,0,1,0,17.8
Status,,27,2,1,24,1575420030,20.30,270.0,32.0,0,1,0,16.699999
Status,,27,3,1,5,1575420030,0.00,189.0,27.0,0,1,0,0.0
Status,,27,4,1,11,1575420030,0.00,308.0,67.0,0,1,0,0.0
Status,,27,5,1,12,1575420030,0.00,328.0,21.0,0,1,0,0.0
Status,,27,6,1,13,1575420030,0.00,195.0,7.0,0,1,1,0.0
Status,,27,7,1,14,1575420030,0.00,128.0,22.0,0,1,1,0.0
Status,,27,8,1,17,1575420030,0.00,61.0,15.0,0,1,1,0.0
Status,,27,9,1,19,1575420030,0.00,38.0,27.0,0,1,1,0.0
Status,,27,10,4,194,1575420030,0.00,119.0,29.0,0,1,0,0.0
Status,,27,11,4,195,1575420030,0.00,53.0,22.0,0,1,0,0.0
Status,,27,12,4,196,1575420030,0.00,85.0,22.0,0,0,0,0.0
Status,,27,13,3,14,1598062460,0.00,157.0,12.0,0,1,0,0.0
Status,,27,14,3,18,1600312450,0.00,350.0,31.0,0,1,0,0.0
Status,,27,15,3,16,1601437440,0.00,324.0,54.0,0,1,0,0.0
Status,,27,16,3,15,1602000000,0.00,169.0,64.0,0,1,0,0.0
Status,,27,17,3,19,1603687550,0.00,295.0,35.0,0,1,0,0.0
Status,,27,18,3,3,1604812540,0.00,108.0,15.0,0,1,0,0.0
Status,,27,19,6,7,1575420030,0.00,170.0,10.0,0,1,0,0.0
Status,,27,20,6,8,1575420030,0.00,121.0,5.0,0,1,0,0.0
Status,,27,21,6,13,1575420030,0.00,340.0,58.0,0,1,0,0.0
Status,,27,22,6,15,1575420030,0.00,29.0,18.0,0,1,0,0.0
Status,,27,23,6,21,1575420030,0.00,333.0,40.0,0,1,0,0.0
Status,,27,24,6,26,1575420030,0.00,252.0,39.0,0,1,0,0.0
Status,,27,25,6,27,1575420030,0.00,85.0,74.0,0,1,0,0.0
Status,,27,26,6,30,1575420030,0.00,133.0,24.0,0,1,0,0.0
Status,,27,0,1,6,1575420030,21.60,17.0,39.0,0,1,1,18.0
Status,,27,1,1,20,1575420030,22.70,171.0,53.0,0,1,0,19.1
Status,,27,2,1,24,1575420030,20.30,270.0,32.0,0,1,0,16.699999
Status,,27,3,1,5,1575420030,0.00,189.0,27.0,0,1,0,0.0
Status,,27,4,1,11,1575420030,0.00,308.0,67.0,0,1,0,0.0
Status,,27,5,1,12,1575420030,0.00,328.0,21.0,0,1,0,0.0
